x(m),wallP(Pa)
5.946564213632180573e-01,9.980677566468798556e-01
4.365318868414908016e-01,8.927875644540251843e-01
2.111667931905123474e-01,2.373922740144986943e-01
5.249301515919386762e-01,8.883415354847797873e-01
8.403014551757080897e-01,3.574550795515807344e-02
8.171848875429877923e-01,6.227589599672949117e-01
4.051712548041006556e-01,2.856190780775423876e-01
9.858909243391142940e-01,7.945798986950177722e-01
7.825100138732770105e-01,7.395281140349988513e-01
3.120756787528381482e-01,3.383758260972041798e-01
6.584820305324800005e-01,1.817984848183143987e-01
7.794141343055138726e-01,2.793906725948317460e-01
1.324724901701396229e-01,9.518204337285796068e-01
7.718370197655596288e-01,6.663609229082990693e-01
8.615796199574132785e-02,9.842486572349640195e-01
2.172841678985660829e-01,5.549949807189277218e-01
3.973232091776512931e-01,6.316774332152041982e-02
4.319567722847676983e-01,1.932427154173220751e-01
4.784946282024555853e-01,6.937260744301623205e-01
9.897192563326647763e-01,7.234637922631116380e-01
2.679051415652573542e-01,6.065307187854679372e-01
4.593250920959580652e-01,3.551212691321350423e-01
2.033395307739307434e-01,4.209051519375317518e-02
7.688310510722670132e-01,5.638679593782190969e-01
8.094089935160996285e-01,5.951283081603034875e-01
8.418120216346756113e-01,5.614388307996281968e-01
1.914143694696415210e-01,7.800561886952730450e-01
7.591983785983569266e-02,4.398657851213435555e-01
8.351542320136265962e-01,4.533450390641136085e-01
2.675346243434162385e-02,1.970988424099809899e-01
1.079963945141670933e-01,9.834945481162634673e-01
1.943105575318189171e-01,3.579511762963447641e-01
2.265956270027912334e-01,5.459839580209331356e-01
4.812506086112485759e-01,7.767624271007397274e-01
6.401996726591081543e-01,2.438464361021790427e-01
8.258173145783415103e-01,6.307877342491791106e-01
8.029829848150481508e-01,2.085630299647978081e-01
8.732507954396948602e-01,8.029336602322373340e-01
7.504535807096160971e-01,8.733451496373407785e-01
4.620753316785020104e-01,2.913634747632880551e-01
4.914704740278482697e-01,2.898250670159855380e-01
4.909156138684379611e-01,1.270594980186472434e-01
5.505219332407329524e-02,7.529835276777701036e-01
4.407533835756889395e-01,1.545957485697389000e-01
3.887565956280347734e-02,8.631888294503908821e-02
8.643667036770930068e-02,5.074126969665259113e-01
9.550340894465618735e-01,3.549768355513818197e-01
9.957175794790307233e-01,7.154022995147611974e-01
1.036375979895260979e-01,3.860175646938094340e-01
8.730840239370095679e-01,2.278652447032797346e-01
7.596533381987645717e-01,6.529687444568630372e-01
4.248908030085758458e-01,1.617705365283176322e-01
5.324690776019842531e-01,4.248339561050984425e-02
3.774747160031630688e-01,7.014226633745126449e-01
8.059630567694094916e-01,7.748670756637062729e-01
8.034913641486740588e-01,5.051967030914409351e-01
2.649289566678461050e-01,4.971645111781198834e-01
1.015405875944819236e-01,2.533572024993802074e-02
7.475989743224702444e-01,8.121164821543547241e-02
7.119582592955486788e-02,9.111776327789448127e-01
9.606722685742922208e-01,5.767749237956398822e-02
5.919480881517794613e-01,5.618071677773481820e-01
1.875389136620083663e-01,9.961443629719259896e-01
8.975900171867842170e-01,6.864574179949924915e-01
7.904473457621752353e-02,4.656120853990542985e-01
5.616155603519352724e-01,3.960708272040290856e-01
8.133524467789723378e-01,3.199419508706053961e-01
2.783321809963281712e-01,8.724613588667006203e-01
4.591553632234695037e-01,2.611268259291742444e-01
8.354334478771153760e-01,2.692658565650623004e-01
7.193877588508600374e-01,2.031870999447080717e-01
8.939722829438182528e-01,9.867417934342084251e-01
9.012855897943063965e-01,2.422232269657949022e-01
9.660508577992751311e-01,1.444825832583694902e-01
5.016736078086838635e-01,6.615262308566705052e-01
4.751769067184441475e-03,1.964843602776404907e-01
3.930983657227393735e-02,7.873440723356955884e-01
2.950778840165166894e-01,6.231232985197646679e-01
2.355259245443075411e-01,1.140878598382553122e-01
8.288382366810849167e-01,4.463269036408693546e-01
9.757106200004750374e-01,2.902543999274173059e-01
1.114295218646176311e-01,7.760812827079642817e-01
3.386914321848670806e-01,5.264367635588316219e-01
1.134196401584883773e-01,4.586008370893966957e-01
8.991195135259760773e-01,2.455233713289703967e-01
4.395374354600752875e-01,2.819238398085182062e-01
7.300552454392907897e-01,6.328781360727676608e-01
5.415302847837339950e-01,3.265014575934243046e-01
1.022197206736353836e-01,3.649557238822964678e-02
5.520178173275696043e-01,7.103478701057377442e-01
3.047581392353708729e-01,1.577142318838484769e-01
5.211515556750832001e-01,1.766208221304493842e-01
5.008974382582674911e-01,5.865161020348519383e-02
6.086326612837403838e-01,1.801005125110242133e-01
8.672488445837178705e-02,7.910484369464688692e-01
5.502461562417124696e-01,5.157912858760823616e-01
3.414523548999874869e-01,5.374894344897592768e-01
9.371560926407679348e-01,2.733057829120142390e-01
1.194346286858752881e-01,7.625616133836976562e-02
3.247959310473805816e-01,9.112475686096677130e-02
