x(m),wallP(Pa)
4.813121570875853461e-01,8.568943091695525593e-01
9.534951361712897810e-01,2.442228462123157140e-01
6.565020774837886375e-01,8.336180759046871724e-01
5.836222153777840260e-01,4.118216880031696503e-01
9.965979574019441234e-01,2.725898453578583513e-01
4.807530776285895424e-02,2.274255328208418803e-02
6.828526449603331550e-01,6.182567857532794697e-02
3.487807890649541331e-02,3.473395760326236648e-03
3.534766631191690323e-01,1.303531894450719042e-01
4.370733631625300930e-01,5.441882822701546996e-01
1.916671741237714333e-01,5.436826787945975292e-01
7.064323977217112915e-02,3.820154820803693951e-01
2.754813894749397196e-02,2.166152081214425262e-01
3.632392479157875442e-02,9.597528036756811654e-01
1.904277951978807781e-01,4.296425748270333855e-01
1.690796401106412494e-01,7.953968268767138694e-01
3.667332934062139671e-01,4.994660182183474628e-01
2.969411065459470755e-01,1.519405851624059389e-01
5.087111188975113052e-01,4.324744394429931305e-01
2.724152623016418140e-02,1.519003573267875273e-01
6.187370544518665527e-01,6.901972231352520026e-01
7.379856282047259075e-01,7.433545086827694215e-01
5.707446076083477760e-01,4.352144605854801895e-02
6.877643482082721471e-01,2.055501383742619481e-02
3.411777815885648213e-01,7.189130002682382337e-01
9.831504868528149199e-01,4.138446549558767451e-01
9.658729217582717741e-01,6.910761790122029735e-01
2.781932812616798589e-01,6.180410126110692515e-01
5.252355405534796517e-01,2.404491665287238344e-01
4.694188804318644159e-02,3.614418262646146296e-02
7.653599163157255303e-01,6.698368913514579637e-01
4.487124354483806865e-01,8.818147074699967947e-01
6.992206189979451869e-01,2.993917632546543306e-01
8.272934319362871269e-01,1.031831076811542403e-01
1.982104250699545656e-01,5.437165048457637262e-02
1.980900237985867562e-01,4.634815040935877928e-01
2.580715766019240354e-01,7.734550422348458465e-01
5.190339885003937281e-01,6.743032097451827633e-01
2.424793430095313340e-01,6.633074375677026069e-01
6.089147467521009993e-01,3.088892470905533205e-01
6.230034893484913683e-01,6.942731231257415203e-02
9.743996129448087018e-01,7.752680263034472663e-02
5.135770433185425921e-01,6.996475551719343322e-01
4.324470696049912410e-01,5.965780737642416565e-01
7.274655836840959733e-01,4.012944520663896952e-01
1.160510299205050888e-01,1.955052209589163148e-01
7.530047265743488039e-01,3.525448020320298692e-02
5.801022368411925534e-01,7.829212913007634889e-01
3.162190315016476516e-01,1.737206661349603998e-01
4.632844944853167224e-01,9.870151132067003230e-01
5.745547726979270964e-01,5.607983217053336134e-02
9.971503659642916295e-01,7.707738867967544039e-01
2.973172445843720313e-01,8.093505132806342317e-01
5.437568262480078074e-01,7.181042266518380401e-01
4.670346852026747708e-01,1.088028238709211060e-01
2.197530852467821649e-02,5.253835034853163721e-01
5.970083267942771776e-02,5.836502345766332311e-01
5.350637430336930844e-01,4.732023949991037703e-01
5.202163588042268971e-01,2.010972956417563795e-01
9.591023340968437561e-01,3.048349697772143596e-01
5.563008431196415637e-01,7.627493668818454697e-01
2.709022032500101318e-01,2.985904728716104461e-01
2.904172379474184718e-01,9.366627664079474336e-01
7.949414313387864750e-01,3.790630366885979763e-01
9.992080229203641473e-01,7.672130493769021564e-01
4.104516000487312688e-01,5.707473194148684481e-01
9.641319907457662763e-01,2.369577082666750600e-01
4.182225585942730417e-01,4.282060334654728129e-01
8.454373086551666416e-01,7.815296504072739570e-01
9.136810566721765836e-01,1.768279185103894813e-01
9.875718773071031631e-01,5.822235409663721883e-01
8.778755221222515059e-01,6.156499785255235002e-01
3.268865505955884654e-01,4.938088302755505588e-02
5.843979179568581372e-02,9.719914022380922169e-01
3.317904732374952204e-01,5.713004702235496834e-01
6.867930394322958598e-01,4.696228983920314182e-02
2.150914213834990152e-01,6.772142312882802884e-01
7.440081122062142116e-01,5.927393402935769995e-01
6.468842431215410249e-01,5.887656629494728566e-01
8.491128734958620639e-01,4.766122065104303474e-01
5.185651359702494467e-01,4.539636975458171131e-01
2.585947740211791412e-02,4.083010554039571138e-01
6.780500514465626072e-01,9.976363068803345557e-01
4.728486845659544136e-01,8.116708935797745106e-01
8.563720588982535187e-01,2.810056857659026797e-02
5.962455253753580209e-01,7.488979584015277302e-01
2.667897353841242047e-02,5.104776582293517606e-01
5.524984033717100784e-01,4.136280927632378646e-01
5.951579066491641257e-02,6.364935484951530498e-01
6.209357910483327414e-01,7.973984626008062682e-01
2.984040260778069165e-01,5.254090956262680301e-02
4.520938294715799444e-01,3.715404878763880481e-01
6.690024143853751104e-01,1.723569982809868284e-01
4.839752594046172751e-01,9.881854079037891703e-01
6.736228737432191638e-01,2.078306057161368736e-01
6.206603389843672325e-01,9.849611802363087421e-01
7.148960780065544141e-01,4.565449474038099087e-01
1.232081289845750049e-01,9.514820877989879078e-01
2.941817485700496393e-01,1.182279812260503826e-01
9.647651140628590305e-01,4.950099382314178120e-01
